City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,La Peca,PE,2022-01-25 19:21:22,-5.6111,-78.435,84.58,53,95,2.1
252,Ribeira Grande,PT,2022-01-25 19:21:23,38.5167,-28.7,61.2,72,20,4.61
253,Las Palmas,ES,2022-01-25 19:21:23,28.4204,-14.0131,61.59,59,40,11.5
254,Asmara,ER,2022-01-25 19:21:23,15.3333,38.9333,52.39,85,72,7.43
255,Grindavik,IS,2022-01-25 19:21:24,63.8424,-22.4338,36.07,64,75,36.82
256,Bengkulu,ID,2022-01-25 19:21:24,-3.8004,102.2655,77.58,84,100,3.76
257,Saint-Joseph,RE,2022-01-25 19:21:24,-21.3667,55.6167,73.78,68,99,12.46
258,Hirara,JP,2022-01-25 19:21:24,24.8,125.2833,69.1,74,99,12.37
259,Flinders,AU,2022-01-25 19:21:25,-34.5833,150.8552,67.8,86,71,4.0
260,Oranjemund,NA,2022-01-25 19:21:25,-28.55,16.4333,65.3,91,18,18.54
261,Tiksi,RU,2022-01-25 19:21:25,71.6872,128.8694,-7.74,95,100,8.99
262,Tacoronte,ES,2022-01-25 19:21:26,28.4769,-16.4102,59.94,66,75,18.99
263,Nampula,MZ,2022-01-25 19:21:26,-15.1165,39.2666,73.35,83,75,18.41
264,Isangel,VU,2022-01-25 19:21:26,-19.55,169.2667,77.11,94,14,3.44
265,Kruisfontein,ZA,2022-01-25 19:21:26,-34.0033,24.7314,68.88,88,100,7.99
266,Debre Tabor,ET,2022-01-25 19:21:27,11.85,38.0167,57.61,26,2,6.4
267,Marsh Harbour,BS,2022-01-25 19:21:27,26.5412,-77.0636,68.95,60,98,5.64
268,Mindelo,CV,2022-01-25 19:21:27,16.8901,-24.9804,76.55,57,0,20.71
269,Brownsville,US,2022-01-25 19:21:28,25.9018,-97.4975,69.78,75,20,5.99
270,Adrar,MR,2022-01-25 19:22:28,20.5022,-10.0711,73.53,14,100,6.78
271,Henties Bay,NA,2022-01-25 19:22:28,-22.116,14.2845,66.85,81,6,7.31
272,Tuatapere,NZ,2022-01-25 19:22:28,-46.1333,167.6833,54.82,94,100,4.25
273,Faya,SA,2022-01-25 19:22:29,18.3851,42.4509,55.51,78,10,3.62
274,Walvis Bay,NA,2022-01-25 19:22:29,-22.9575,14.5053,70.75,64,9,6.91
275,Phalombe,MW,2022-01-25 19:21:14,-15.8064,35.6507,66.94,94,81,1.9
276,Santa Cruz,BO,2022-01-25 19:22:29,-17.8,-63.1667,95.05,43,75,13.8
277,Hitoyoshi,JP,2022-01-25 19:22:30,32.2167,130.75,40.64,83,30,3.83
278,Zadar,HR,2022-01-25 19:18:35,44.1197,15.2422,40.64,80,0,2.3
279,Kununurra,AU,2022-01-25 19:22:30,-15.7667,128.7333,76.98,94,100,0.0
280,Verkhnevilyuysk,RU,2022-01-25 19:22:30,63.4453,120.3167,-20.67,100,99,3.87
281,Richards Bay,ZA,2022-01-25 19:22:31,-28.783,32.0377,74.52,92,4,2.53
282,Kashi,CN,2022-01-25 19:22:31,39.4547,75.9797,25.81,46,54,2.24
283,Russkaya Polyana,UA,2022-01-25 19:22:32,49.417,31.9201,13.33,94,68,4.94
284,Yining,CN,2022-01-25 19:22:32,29.0361,114.5636,43.45,97,100,2.04
285,Kasongo,CD,2022-01-25 19:22:32,-4.45,26.6667,68.23,96,88,2.82
286,Arlit,NE,2022-01-25 19:22:32,18.7369,7.3853,63.77,16,1,16.06
287,Batavia,US,2022-01-25 19:22:33,41.85,-88.3126,14.18,59,0,8.01
288,Pandan,PH,2022-01-25 19:22:33,14.0453,124.1694,76.75,93,100,12.66
289,Shahr-E Babak,IR,2022-01-25 19:22:33,30.1165,55.1186,43.99,39,0,3.31
290,Asau,RO,2022-01-25 19:22:34,46.4333,26.4,20.32,74,100,7.2
291,Zhezkazgan,KZ,2022-01-25 19:22:34,47.8043,67.7144,-2.25,95,14,4.23
